@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data
12,10,13,12,3,False,False,True,True,Stop,-68,Stop,-69
12,10,13,12,3,False,False,True,True,Stop,-69,Stop,-70
12,10,13,12,3,False,False,True,True,Stop,-70,Stop,-71
12,10,13,12,3,False,False,True,True,Stop,-71,Stop,-72
12,10,13,12,3,False,False,True,True,Stop,-72,Stop,-73
12,10,13,12,3,False,False,True,True,Stop,-73,Stop,-74
12,10,13,12,3,False,False,True,True,Stop,-74,Stop,-75
12,10,13,12,3,False,False,True,True,Stop,-75,Stop,-76
12,10,13,12,3,False,False,True,True,Stop,-76,Stop,-77
12,10,13,12,3,False,False,True,True,Stop,-77,Stop,-78
12,10,13,12,3,False,False,True,True,Stop,-78,Stop,-79
12,10,13,12,3,False,False,True,True,Stop,-79,Stop,-80
12,10,13,12,3,False,False,True,True,Stop,-80,Stop,-81
12,10,13,12,3,False,False,True,True,Stop,-81,Stop,-82
12,10,13,12,3,False,False,True,True,Stop,-82,Stop
